formula_pretty,e_above_hull,bandgap,is_magnetic,mat_id
Rb3IrRh,1.3530898,0.0,True,agm002575299
Rb3IrRu,1.6964029,0.0,True,agm002575338
Rb3IrS,0.925574,0.2942,True,agm002586027
Rb3IrSe,0.95793265,0.5132,True,agm002596718
Rb3IrW,2.0353713,0.0,True,agm002575571
Rb3LaAg,1.0828624,0.0,True,agm002574885
Rb3LaAl,1.3422663,0.0,True,agm002399286
Rb3LaAu,1.2425544,0.0,True,agm002575097
Rb3LaB,1.984754,0.0,True,agm002405151
Rb3LaBi,1.4335892,0.0,False,agm002575098
Rb3LaBr,1.0889429,0.0,True,agm002426270
Rb3LaC,2.0915911,0.0,True,agm002437087
Rb3LaCd,0.7620479,0.0,False,agm002574954
Rb3LaCl,0.758007,0.0,False,agm002449655
Rb3LaCr,1.3897704,0.0,True,agm002459662
Rb3LaCu,1.2442496,0.0,True,agm005416883
Rb3LaF,1.4084504,0.0,True,agm002473103
Rb3LaGa,0.9226301,0.0,True,agm001428382
Rb3LaHf,1.5588263,0.0,True,agm005409514
Rb3LaI,1.0077423,0.0,True,agm002575036
Rb3LaIn,0.9903728,0.0,True,agm002575067
Rb3LaIr,2.1250274,0.0,True,agm002575101
Rb3LaMg,0.9914818,0.0,True,agm002521159
Rb3LaMo,1.8110461,0.0,True,agm002575129
Rb3LaN,2.489288,0.0,True,agm002534199
Rb3LaNb,1.8602228,0.0,True,agm002575176
Rb3LaO,2.2250109,0.0,True,agm002563287
Rb3LaP,1.910047,0.0,True,agm002573258
Rb3LaPb,1.2048665,0.0,True,agm002575102
Rb3LaPd,1.5600656,0.0,True,agm002575238
Rb3LaRe,2.1183424,0.0,True,agm002575103
Rb3LaRu,2.0098479,0.0,True,agm002575339
Rb3LaS,0.91009074,0.0,True,agm002586029
Rb3LaSe,1.5508482,0.0,True,agm002596719
Rb3LaSi,1.7838213,0.0,False,agm002605302
Rb3LaTa,2.11896,0.0,True,agm002575104
Rb3LaTc,1.9258188,0.0,True,agm002575505
Rb3LaTe,1.2930285,0.0,True,agm002575546
Rb3LaTi,1.5869662,0.0,True,agm002615890
Rb3LaTl,1.0424092,0.0,True,agm002575105
Rb3LaW,2.1497624,0.0,True,agm002575106
Rb3LaZn,1.0348032,0.0,True,agm002627964
Rb3LaZr,1.765518,0.0,True,agm002575653
Rb3LiAg,0.2770778,0.0,False,agm002516942
Rb3LiAl,0.53376925,0.0,False,agm002509367
Rb3LiAs,0.3876547,0.0,True,agm002507993
Rb3LiAu,0.22453336,0.0,False,agm002507183
Rb3LiB,0.92104745,0.0,True,agm002508014
Rb3LiBe,0.63816476,0.0,False,agm002508046
Rb3LiBi,0.38480633,0.0,True,agm002509965
Rb3LiBr,0.15324873,0.0,False,agm002515022
Rb3LiC,0.9557162,0.0,True,agm002513668
Rb3LiCa,0.33719593,0.0,False,agm002513691
Rb3LiCd,0.31050253,0.0,False,agm002511419
Rb3LiCl,0.13446862,0.0,False,agm002506780
Rb3LiCo,0.72914606,0.0,True,agm002512354
Rb3LiCr,0.7154189,0.0,True,agm002512369
Rb3LiCu,0.35496643,0.0,False,agm002509618
Rb3LiF,0.24580795,0.0,False,agm002509646
Rb3LiFe,0.8289472,0.0,True,agm002506896
Rb3LiGa,0.43474922,0.0,False,agm002516625
Rb3LiGe,0.4494174,0.0,True,agm002515249
Rb3LiH,0.2328313,0.0,False,agm002492684
Rb3LiHf,1.1968409,0.0,True,agm002514182
Rb3LiHg,0.24184026,0.0,False,agm002515496
Rb3LiI,0.19837159,0.0,False,agm002516944
Rb3LiIn,0.39836076,0.0,False,agm002507185
Rb3LiIr,0.857999,0.0,False,agm002508603
Rb3LiLa,0.87511224,0.0,True,agm002509967
Rb3LiMg,0.38234586,0.0,False,agm002513967
Rb3LiMn,0.744165,0.0,True,agm002511220
Rb3LiMo,1.1640757,0.0,True,agm002511421
Rb3LiN,0.71746767,0.0,False,agm002514033
Rb3LiNb,1.1440428,0.0,True,agm002512710
Rb3LiNi,0.55070907,0.0,True,agm002509888
Rb3LiO,0.4347817,0.0264,False,agm002508553
Rb3LiOs,1.1813117,0.0281,True,agm002514184
Rb3LiP,0.4205805,0.0,True,agm002507161
Rb3LiPb,0.39213362,0.0,True,agm002515498
Rb3LiPd,0.36622956,0.0,False,agm002516946
Rb3LiPt,0.40637428,0.288,False,agm002507187
Rb3LiRe,1.4168453,0.0,True,agm002508605
Rb3LiRh,0.6606626,0.0,True,agm002509968
Rb3LiRu,1.0424843,0.0,False,agm002511423
Rb3LiS,0.28015077,0.124,False,agm002512767
Rb3LiSb,0.40364966,0.0,True,agm002512712
Rb3LiSc,0.7650049,0.0,True,agm002511508
Rb3LiSe,0.26003516,0.1103,False,agm002514290
Rb3LiSi,0.5251786,0.0,True,agm002511557
Rb3LiSn,0.42365143,0.0,True,agm002514186
Rb3LiTa,1.3495873,0.0,True,agm002516948
