epoch, batch, loss, loss_force_constant, loss_e, f_mae, e/N_mae, force_constant_mae
    8,     2,           8570.2,           8561.3,           8.8616,       0.00078696,           2.9769,           8561.3
    8,     3,            11187,            10855,           331.68,           10.238,           18.212,            10855
    8,     4,             3356,           1098.7,           2257.3,       5.4319e-05,           47.512,           1098.7
    8,     5,            28182,            24984,             3198,       0.00026206,           56.551,            24984
    8,     6,            23418,            22647,           770.58,       0.00066465,           27.759,            22647
    8,     7,            11877,            11804,           73.021,           30.179,           8.5452,            11804
    8,     8,           4752.5,           3959.3,           793.27,        0.0001874,           28.165,           3959.3
    8,     9,            42413,            42365,           48.068,           55.365,           6.9331,            42365
    8,    10,            23053,            22632,           421.15,        0.0016945,           20.522,            22632
    8,    11,            13297,            13083,           213.47,       0.00022046,           14.611,            13083
    8,    12,            16728,            16447,           281.03,       9.5985e-05,           16.764,            16447
    8,    13,            12209,            12194,           14.627,           3.1661,           3.8245,            12194
    8,    14,           4619.2,           4137.7,           481.44,       6.9102e-05,           21.942,           4137.7
    8,    15,           8740.6,           8391.4,           349.19,       0.00036598,           18.687,           8391.4
    8,    16,            20863,            19619,           1244.9,       0.00049555,           35.283,            19619
    8,    17,            18582,            17744,           838.63,            11.49,           28.959,            17744
    8,    18,            22325,            21970,           354.75,           14.624,           18.835,            21970
    8,    19,            11793,            11649,           144.04,           6.8853,           12.002,            11649
    8,    20,            14391,            12410,           1980.7,       0.00016796,           44.505,            12410
    8,    21,           8255.1,             7948,           307.03,          0.49854,           17.522,             7948
    8,    22,            14130,            13628,           502.26,           12.033,           22.411,            13628
    8,    23,            14681,            13926,           754.68,       0.00012747,           27.471,            13926
    8,    24,            11933,            11670,           263.12,       0.00021269,           16.221,            11670
    8,    25,            27357,            25917,           1440.3,           64.591,           37.951,            25917
    8,    26,           5992.9,           5310.9,           682.07,       0.00045448,           26.117,           5310.9
    8,    27,           8718.4,           8718.3,         0.099948,       0.00012932,          0.31615,           8718.3
    8,    28,           9345.3,             9266,           79.334,       0.00018389,           8.9069,             9266
    9,     1,            12132,            11655,           476.87,            9.615,           21.837,            11655
    9,     2,            21800,            21676,           123.24,        0.0005519,           11.102,            21676
    9,     3,           2910.3,             2738,           172.27,        9.949e-05,           13.125,             2738
    9,     4,            13925,            12566,           1359.2,       0.00011772,           36.868,            12566
    9,     5,            11834,            11821,           13.536,       0.00024578,           3.6792,            11821
    9,     6,            28075,            27296,           778.75,           62.966,           27.906,            27296
    9,     7,            20497,            20001,           495.77,           16.984,           22.266,            20001
    9,     8,            32212,            32054,            158.3,           38.353,           12.582,            32054
    9,     9,            12223,            12213,           10.494,           12.443,           3.2394,            12213
    9,    10,            10277,            10262,           15.583,       0.00015719,           3.9475,            10262
    9,    11,           9296.2,           8211.7,           1084.5,       0.00062237,           32.932,           8211.7
    9,    12,            10478,           9276.5,           1201.3,           11.487,            34.66,           9276.5
    9,    13,            17575,            16858,            716.9,       0.00042438,           26.775,            16858
    9,    14,            21613,            21441,           172.08,        0.0022259,           13.118,            21441
    9,    15,            10898,            10889,           9.5474,       0.00017669,           3.0899,            10889
    9,    16,           9044.1,           9016.3,           27.862,       0.00015217,           5.2785,           9016.3
    9,    17,           8354.4,             7727,           627.34,        0.0003325,           25.047,             7727
    9,    18,            23609,            18012,           5596.8,       0.00029158,           74.812,            18012
    9,    19,            13415,            12865,           549.94,           4.1449,           23.451,            12865
    9,    20,           8947.6,           8946.5,           1.1064,          0.27531,           1.0519,           8946.5
    9,    21,           5405.5,             5263,           142.49,       0.00046853,           11.937,             5263
    9,    22,           4933.9,           4231.9,           702.02,       6.5042e-05,           26.496,           4231.9
    9,    23,            13311,            13011,           299.79,           23.193,           17.314,            13011
    9,    24,           8352.7,           8316.1,           36.607,       0.00010274,           6.0503,           8316.1
    9,    25,           4757.3,           4750.5,           6.8382,       0.00018091,            2.615,           4750.5
    9,    26,            10232,            10210,           22.075,           2.2687,           4.6984,            10210
    9,    27,           4124.5,           2988.8,           1135.6,       9.7835e-05,           33.699,           2988.8
    9,    28,            14845,            13852,           993.15,       8.0436e-05,           31.514,            13852
   10,     1,            12220,            12115,           105.35,           3.5953,           10.264,            12115
   10,     2,            16084,            16067,           16.837,       0.00011419,           4.1033,            16067
   10,     3,           9021.8,           8134.2,           887.62,       0.00032024,           29.793,           8134.2
   10,     4,            14234,            14004,           230.14,       0.00018113,            15.17,            14004
   10,     5,            21002,            20830,           171.59,       0.00040097,           13.099,            20830
   10,     6,            12630,           9019.8,           3610.2,           6.3927,           60.085,           9019.8
   10,     7,            15798,           9859.3,           5938.4,            7.715,           77.061,           9859.3
   10,     8,            37147,            37139,           7.4357,           57.682,           2.7269,            37139
   10,     9,            20362,            19595,           766.83,            16.37,           27.692,            19595
   10,    10,            12239,            11064,           1174.4,       0.00022925,           34.269,            11064
   10,    11,           3463.3,           3214.6,           248.69,       6.4283e-05,            15.77,           3214.6
   10,    12,            13042,            13020,           21.413,           9.8617,           4.6275,            13020
   10,    13,            18436,            17065,           1371.3,       0.00047817,           37.031,            17065
   10,    14,            10679,            10050,           629.16,       0.00019927,           25.083,            10050
   10,    15,            11894,            10844,           1049.3,           10.688,           32.392,            10844
   10,    16,            29773,            29234,           539.14,            30.39,           23.219,            29234
   10,    17,            12070,           2619.2,           9450.4,       0.00010335,           97.213,           2619.2
   10,    18,            12306,           9121.5,           3184.1,       0.00010516,           56.428,           9121.5
   10,    19,            11308,           9244.9,           2063.5,       0.00059264,           45.426,           9244.9
   10,    20,            17938,            17899,           39.327,        0.0029603,           6.2711,            17899
   10,    21,            18040,            16428,           1611.3,       7.7544e-05,           40.141,            16428
   10,    22,           9336.4,           8604.5,           731.91,           1.1421,           27.054,           8604.5
   10,    23,             4195,           3883.1,           311.96,       0.00015099,           17.663,           3883.1
   10,    24,            21747,            16191,           5556.4,       0.00025251,           74.541,            16191
   10,    25,           8035.8,           7908.3,           127.52,       0.00039565,           11.292,           7908.3
   10,    26,            13873,            13122,           750.38,       0.00017887,           27.393,            13122
   10,    27,             5669,           5262.8,           406.25,       0.00013916,           20.156,           5262.8
   10,    28,            14082,            13709,           372.33,           25.622,           19.296,            13709
   11,     1,            14249,            13258,           990.96,       0.00020458,            31.48,            13258
   11,     2,            20701,            20701,          0.24339,           4.4271,          0.49334,            20701
   11,     3,            13699,            13029,           670.41,       0.00016881,           25.892,            13029
   11,     4,            12114,           9627.2,           2486.8,       0.00015953,           49.868,           9627.2
   11,     5,           6711.5,           6404.6,           306.92,           4.5584,           17.519,           6404.6
   11,     6,            31550,            22577,             8973,       9.3294e-05,           94.726,            22577
   11,     7,            12260,            12259,          0.59218,           24.369,          0.76953,            12259
   11,     8,            12719,            12610,           108.95,           15.494,           10.438,            12610
   11,     9,           2459.4,           2255.5,           203.86,       7.8989e-05,           14.278,           2255.5
   11,    10,            19338,            18809,            529.2,           56.661,           23.004,            18809
   11,    11,            12885,            10559,             2327,           2.1628,           48.239,            10559
   11,    12,           8345.4,           6919.1,           1426.2,       0.00062658,           37.766,           6919.1
   11,    13,            27225,            25451,           1773.8,           9.7995,           42.116,            25451
   11,    14,            20682,            20016,           666.05,           11.456,           25.808,            20016
   11,    15,            10554,           7711.1,           2842.9,       0.00031036,           53.319,           7711.1
   11,    16,            21482,            17905,           3577.4,       0.00044282,           59.811,            17905
   11,    17,            10320,            10234,           85.684,       0.00014288,           9.2566,            10234
   11,    18,            33709,            32623,           1085.6,           27.578,           32.949,            32623
   11,    19,            15355,            14043,           1312.4,       0.00044042,           36.227,            14043
   11,    20,           5434.7,           3689.7,             1745,          0.72287,           41.773,           3689.7
   11,    21,           7534.6,           7056.8,           477.82,       0.00031086,           21.859,           7056.8
   11,    22,            13577,            12184,           1393.1,       0.00023581,           37.324,            12184
   11,    23,            21107,            20274,           833.33,        0.0025189,           28.867,            20274
   11,    24,            13796,            13614,           182.29,       0.00010816,           13.501,            13614
   11,    25,           3832.5,           3389.3,           443.21,       0.00015233,           21.053,           3389.3
   11,    26,           651.27,           650.31,          0.95509,       4.2387e-05,          0.97729,           650.31
   11,    27,           9006.1,           8295.2,           710.92,       0.00012939,           26.663,           8295.2
   11,    28,            19626,            19282,           343.66,       0.00023485,           18.538,            19282
   12,     1,           7611.6,           7603.3,           8.3281,           5.4063,           2.8859,           7603.3
   12,     2,           3312.7,             2555,            757.7,       5.3249e-05,           27.526,             2555
   12,     3,           1494.7,           1347.7,           147.02,        7.126e-05,           12.125,           1347.7
   12,     4,            14454,            14403,           50.881,           10.923,           7.1331,            14403
   12,     5,           6596.3,           6126.8,           469.46,       0.00033267,           21.667,           6126.8
   12,     6,            15685,            15665,           20.422,       0.00045083,            4.519,            15665
   12,     7,           4129.5,           4050.9,           78.668,       0.00040016,           8.8695,           4050.9
   12,     8,           8021.2,           7916.6,           104.64,        0.0001589,           10.229,           7916.6
   12,     9,           8324.5,           8306.6,           17.825,           21.082,            4.222,           8306.6
   12,    10,           9334.4,           9172.9,           161.41,       0.00014973,           12.705,           9172.9
   12,    11,           1754.4,           1548.1,           206.24,        4.433e-05,           14.361,           1548.1
   12,    12,            16040,            15966,           74.278,           13.697,           8.6184,            15966
   12,    13,           4119.2,           4115.5,           3.7128,       0.00015665,           1.9269,           4115.5
   12,    14,            11187,             9804,           1382.7,       9.9855e-05,           37.184,             9804
   12,    15,            21248,            18027,           3220.9,       0.00027199,           56.753,            18027
   12,    16,            11175,            10675,           499.62,           2.2542,           22.352,            10675
   12,    17,           4900.3,           4900.2,          0.10204,       0.00048253,          0.31944,           4900.2
   12,    18,            30950,            30712,           238.41,            27.51,           15.441,            30712
   12,    19,            10025,           9841.3,           183.74,       0.00021948,           13.555,           9841.3
   12,    20,           8768.5,           8466.3,           302.13,       0.00012582,           17.382,           8466.3
   12,    21,            15356,            15306,           50.272,            57.16,           7.0903,            15306
   12,    22,             7105,           6376.3,           728.68,           9.2531,           26.994,           6376.3
   12,    23,            11413,            10873,            540.6,       6.6027e-05,           23.251,            10873
   12,    24,            15272,            14818,           454.07,        0.0031823,           21.309,            14818
   12,    25,            21268,            18595,           2673.6,       0.00033017,           51.707,            18595
   12,    26,           3581.8,           2902.3,           679.48,           1.6198,           26.067,           2902.3
   12,    27,            10406,            10021,           385.04,           8.8895,           19.622,            10021
   12,    28,           3608.3,           3602.3,           5.9813,       0.00012156,           2.4457,           3602.3
   13,     1,           850.42,           830.95,           19.471,       3.7424e-05,           4.4126,           830.95
   13,     2,            10016,             9850,           165.66,       0.00017685,           12.871,             9850
   13,     3,           6438.3,           6398.6,           39.674,       0.00028645,           6.2987,           6398.6
   13,     4,           5330.6,           5261.3,           69.295,           3.9981,           8.3243,           5261.3
   13,     5,           9830.8,           9463.2,           367.52,       0.00017197,           19.171,           9463.2
   13,     6,            10523,           9966.5,           556.81,           10.029,           23.597,           9966.5
   13,     7,           4694.1,           4583.3,           110.88,       0.00011348,            10.53,           4583.3
   13,     8,           4243.6,           3388.7,           854.92,       5.5352e-05,           29.239,           3388.7
   13,     9,            10969,             9774,             1195,        0.0001086,           34.569,             9774
   13,    10,           1841.4,           1841.4,        0.0093243,       0.00012116,         0.096562,           1841.4
   13,    11,            11095,            11092,           2.9125,        0.0035583,           1.7066,            11092
   13,    12,           3686.2,           3415.9,           270.26,          0.29324,           16.439,           3415.9
   13,    13,           8324.1,           8241.4,           82.714,           20.523,           9.0947,           8241.4
   13,    14,            20625,            18614,             2011,       0.00038733,           44.844,            18614
   13,    15,           5060.4,           5019.6,           40.779,          0.96964,           6.3858,           5019.6
   13,    16,           754.65,           750.82,           3.8305,       7.0641e-05,           1.9572,           750.82
   13,    17,           8891.9,           8472.2,           419.77,       0.00012846,           20.488,           8472.2
   13,    18,            44936,            44175,           760.59,           30.147,           27.579,            44175
   13,    19,            10966,            10197,           769.73,           6.9237,           27.744,            10197
   13,    20,           5443.6,           4842.6,           600.99,        0.0004359,           24.515,           4842.6
   13,    21,            14052,            13883,            169.3,           14.903,           13.012,            13883
   13,    22,            12412,            11157,           1255.2,           7.0595,           35.429,            11157
   13,    23,            24804,            20950,           3853.6,        0.0002905,           62.077,            20950
